cap_Seg,cap_Ter,cap_Qua,cap_Sab,bank_min,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,sharpe_ann_bank,sharpe_ann_turn
200,200,200,200,4000.0,2007.9981530333332,1584.907333995848,0.09433333333333334,39649.29953333333,0.05385213011944088,4.388843117773484,4.164307670373565
200,200,200,300,6000.0,2199.2849023666663,1813.8896348035378,0.1097,44147.272033333335,0.053308585929147466,4.200115727141036,4.056112265051021
200,200,200,400,8000.0,2442.2827691000007,2062.892164073202,0.1166,47069.363033333335,0.05531877068312133,4.101191440059298,4.011112247512086
200,200,200,500,10000.0,2636.499708766666,2318.970394366559,0.12756666666666666,49393.35996666666,0.056808916438277415,3.938430141943917,3.8864041281479214
200,200,200,700,14000.0,2761.4753825333332,2738.5943081684472,0.15833333333333333,52547.0439,0.056099561194402965,3.4930443345566444,3.503946056163027
200,200,200,1000,20000.0,2606.061367333333,3038.142253277118,0.19533333333333333,55130.39176666667,0.05135639725025045,2.9714413082500455,3.0172460383080333
200,200,300,200,6000.0,2090.4269019333333,1636.371381188513,0.09213333333333333,42022.6576,0.05265099845551121,4.425310348592832,4.186642976464773
200,200,300,300,6000.0,2281.7136512666666,1863.240422396083,0.10566666666666667,46520.6301,0.052159550696979924,4.242119186352909,4.084051062621865
200,200,300,400,8000.0,2524.7115179999996,2106.2384041312366,0.11313333333333334,49442.7211,0.05411259742955827,4.152358645681474,4.048864697894997
200,200,300,500,10000.0,2718.9284576666664,2356.899548026012,0.1237,51766.71803333333,0.05556138433532113,3.9962010555501006,3.9322855602568954
200,200,300,700,14000.0,2843.904131433333,2762.193494762649,0.1522,54920.401966666665,0.05492048338935033,3.566575952653046,3.564949927948153
200,200,300,1000,20000.0,2688.490116233333,3045.3909080491926,0.18973333333333334,57503.749833333335,0.05037625807515554,3.0581305438688666,3.0905727254956483
200,200,400,200,8000.0,2317.8948046,1690.3161211849495,0.0754,43734.614233333334,0.05565493796746872,4.750249397553792,4.484045427155042
200,200,400,300,8000.0,2509.1815539333334,1912.5380940471857,0.08823333333333333,48232.58673333333,0.05484287680930255,4.544777382844574,4.360601301161682
200,200,400,400,8000.0,2752.179420666667,2150.957708609574,0.09416666666666666,51154.67773333333,0.05656622509123857,4.432364773198244,4.30824208001747
200,200,400,500,10000.0,2946.3963603333327,2397.580266440056,0.10493333333333334,53478.674666666666,0.057850400847679735,4.257048881129453,4.176623820871682
200,200,400,700,14000.0,3071.3720340999994,2790.3955987584145,0.13326666666666667,56632.3586,0.057090814792179555,3.8129162864035475,3.796079804875528
200,200,400,1000,20000.0,2915.9580188999994,3060.916357835594,0.1719,59215.70646666667,0.052562318377358,3.3000492996443787,3.3147832473497423
200,200,500,200,10000.0,2537.253924933333,1776.3828727696202,0.06653333333333333,45221.83476666667,0.05851530483744159,4.947866563063882,4.684175757315378
200,200,500,300,10000.0,2728.540674266666,1991.5453546239526,0.07693333333333334,49719.80726666666,0.057422524403627266,4.746034095960095,4.557521737169292
200,200,500,400,10000.0,2971.5385410000004,2223.4470727466946,0.0821,52641.89826666666,0.058946871207186606,4.629618390963558,4.499951214599265
200,200,500,500,10000.0,3165.7554806666667,2464.398389900845,0.09066666666666667,54965.8952,0.06008708794299828,4.449969906915024,4.3639065948490385
200,200,500,700,14000.0,3290.731154433333,2842.431694792068,0.11853333333333334,58119.57913333333,0.059218502553083814,4.010448915251959,3.984550238688551
200,200,500,1000,20000.0,3135.317139233333,3100.0444495593592,0.1564,60702.927,0.054690870836113514,3.50351659232856,3.5050295436230985
200,200,700,200,14000.0,2803.4522465333334,1925.281615528173,0.06276666666666667,47205.0485,0.06192794967828598,5.044167760628355,4.781581699403548
200,200,700,300,14000.0,2994.7389958666663,2121.294469609294,0.06863333333333334,51703.021,0.06051395218928897,4.890447951060969,4.69093475986998
200,200,700,400,14000.0,3237.7368625999998,2334.1537946896037,0.0726,54625.112,0.06179067777966354,4.805103040185572,4.656828212664061
200,200,700,500,14000.0,3431.953802266666,2558.627363563399,0.07816666666666666,56949.10893333334,0.06275032666959897,4.6464900980941675,4.539346472270889
200,200,700,700,14000.0,3556.929476033333,2911.35365663914,0.1029,60102.79286666666,0.0617369208915235,4.232246094444651,4.183347833186078
200,200,700,1000,20000.0,3401.515460833333,3142.879923400091,0.13736666666666666,62686.14073333333,0.05720439907082682,3.7491712979735063,3.7237208378025017
200,200,1000,200,20000.0,2699.2754152,2237.9020055190244,0.11256666666666666,48826.90263333333,0.05845124617375872,4.1782724634215285,4.015566907482469
200,200,1000,300,20000.0,2890.5621645333335,2388.126369942711,0.10796666666666667,53324.875133333335,0.057294848248489065,4.192910889827078,4.05272003890155
200,200,1000,400,20000.0,3133.560031266667,2555.1765881028095,0.102,56246.966133333335,0.058656834576399204,4.248227075961772,4.122952547517842
200,200,1000,500,20000.0,3327.776970933333,2740.3453933990922,0.10293333333333334,58570.96306666666,0.059675546938275266,4.206680518301194,4.100109895285719
200,200,1000,700,20000.0,3452.7526446999996,3046.784801987965,0.12033333333333333,61724.647,0.05878715497400112,3.925674699890954,3.8617553796683217
200,200,1000,1000,20000.0,3297.3386294999996,3238.499061017872,0.15053333333333332,64307.99486666667,0.05442971348462837,3.5270401062018473,3.486218762569134
300,200,200,200,6000.0,2188.6990773999996,1630.652944369497,0.08326666666666667,40511.4985,0.05712481443140508,4.649595142394592,4.40795975284074
300,200,200,300,6000.0,2379.985826733333,1819.9263439569866,0.09236666666666667,45009.471,0.056303935310281515,4.530135394637026,4.341531273029817
300,200,200,400,8000.0,2622.983693466667,2046.5633195993044,0.0984,47931.562,0.05813908875931434,4.439775677596367,4.304748651591328
300,200,200,500,10000.0,2817.2006331333328,2287.838712213902,0.10793333333333334,50255.558933333334,0.05950648767550894,4.265628171821867,4.173549781964378
300,200,200,700,14000.0,2942.1763068999994,2690.865206933278,0.13646666666666665,53409.24286666667,0.05868480465134509,3.787628481163473,3.7680008043827677
300,200,200,1000,20000.0,2786.7622916999994,2986.186611764586,0.1755,55992.59073333333,0.0539134269260996,3.2327610463628975,3.2509051914225937
300,200,300,200,6000.0,2271.1278263,1681.2407327378746,0.08053333333333333,42884.85656666667,0.05577653687073054,4.679530669268379,4.427026482340199
300,200,300,300,6000.0,2462.4145756333332,1869.5888581313184,0.09063333333333333,47382.829066666665,0.055032945037120445,4.562529494915847,4.36601266867969
300,200,300,400,8000.0,2705.4124423666667,2090.6694842057423,0.0952,50304.920066666666,0.056825069027892305,4.482690201400514,4.339999034984492
300,200,300,500,10000.0,2899.629382033333,2326.6540566354706,0.10513333333333333,52628.917,0.058160636634577094,4.3171913748655335,4.2182332696290015
300,200,300,700,14000.0,3024.6050557999997,2715.2036785990203,0.1311,55782.600933333335,0.05741534459189508,3.8588409928631044,3.8299801789613452
300,200,300,1000,20000.0,2869.1910405999993,2993.8552484347133,0.16983333333333334,58365.9488,0.05284504121687842,3.319856336767704,3.3268901220821525
300,200,400,200,8000.0,2498.5957289666662,1736.529745808067,0.06696666666666666,44596.8132,0.05861638724591459,4.984302469441474,4.711780612809638
300,200,400,300,8000.0,2689.8824782999995,1921.1994826862692,0.07593333333333334,49094.7857,0.05757963789371949,4.850108654298135,4.634474981802555
300,200,400,400,8000.0,2932.880345033334,2137.939570164009,0.08053333333333333,52016.8767,0.05915679148132639,4.752143457196196,4.594166562536574
300,200,400,500,10000.0,3127.0972846999994,2369.861307775237,0.0883,54340.873633333336,0.06033775971437349,4.570977516313601,4.459642481877224
300,200,400,700,14000.0,3252.0729584666665,2745.6207996795915,0.114,57494.55756666667,0.05948344872043943,4.103083422621527,4.06128539052851
300,200,400,1000,20000.0,3096.658943266666,3011.2257105224153,0.15226666666666666,60077.90543333333,0.05493323605430596,3.562383653080521,3.5528279551416677
300,200,500,200,10000.0,2717.9548492999998,1823.4600753938937,0.059,46084.03373333333,0.06134037995394453,5.163409887818786,4.899212167598423
300,200,500,300,10000.0,2909.241598633333,2002.638748742356,0.06656666666666666,50582.00623333333,0.060044748700800135,5.032314753212746,4.820170486944476
300,200,500,400,10000.0,3152.2394653666665,2213.3655355814417,0.07053333333333334,53504.097233333334,0.061434719319465925,4.9335175992107825,4.776686780176291
300,200,500,500,10000.0,3346.456405033333,2439.7160645372282,0.0778,55828.09416666667,0.062479820290451925,4.751563186457496,4.640004100827156
300,200,500,700,14000.0,3471.4320787999995,2800.472725267849,0.10086666666666666,58981.7781,0.061524394669641665,4.294058414677805,4.246492078432263
300,200,500,1000,20000.0,3316.018063599999,3052.8102605037966,0.13716666666666666,61565.12596666667,0.05697871653875949,3.762770218168441,3.7420322285080365
300,200,700,200,14000.0,2984.1531708999996,1971.6600258575863,0.05586666666666667,48067.24746666667,0.06459191997127481,5.24299812521523,4.979948765987053
300,200,700,300,14000.0,3175.439920233333,2134.35299513056,0.0601,52565.219966666664,0.06300015280940911,5.153808475706387,4.934484516284508
300,200,700,400,14000.0,3418.4377869666664,2326.9738865413733,0.0614,55487.310966666664,0.06415664560470602,5.088933712393258,4.916595544906637
300,200,700,500,14000.0,3612.654726633333,2537.08345538302,0.06723333333333334,57811.3079,0.065030894071261,4.932673005656514,4.802046287925607
300,200,700,700,14000.0,3737.6304004,2872.3636750983374,0.08813333333333333,60964.99183333333,0.0639402746367511,4.507622631166417,4.437524607383758
300,200,700,1000,20000.0,3582.2163852,3098.1175789328163,0.12073333333333333,63548.3397,0.05939417778352877,4.005387545691126,3.9572399025306653
300,200,1000,200,20000.0,2879.976339566667,2281.9265716934847,0.10106666666666667,49689.1016,0.06110342407018748,4.371977088661327,4.198802553695064
300,200,1000,300,20000.0,3071.2630888999997,2403.532727812191,0.09663333333333333,54187.0741,0.059770970076329547,4.426470795950314,4.266014223123477
300,200,1000,400,20000.0,3314.260955633333,2552.1971831328096,0.0898,57109.1651,0.061014798779556394,4.498452080926065,4.350107252124729
300,200,1000,500,20000.0,3508.4778953,2723.593376946571,0.09053333333333333,59433.162033333334,0.06194957157943961,4.462385628727523,4.3327310531824335
300,200,1000,700,20000.0,3633.4535690666667,3012.5803112023295,0.10583333333333333,62586.84596666667,0.060984347994006656,4.178030484474787,4.092260359205789
300,200,1000,1000,20000.0,3478.0395538666667,3197.931209706606,0.1335,65170.19383333333,0.056611966430330014,3.7675239540777623,3.7034756891655163
400,200,200,200,8000.0,2158.6729953999998,1694.9028616693822,0.09713333333333334,40980.6953,0.055687034394824315,4.411971198487522,4.22377540986194
400,200,200,300,8000.0,2349.959744733333,1842.451954727449,0.09823333333333334,45478.6678,0.05503375151772061,4.418296675987763,4.247959131061527
400,200,200,400,8000.0,2592.957611466667,2045.1554488139886,0.10106666666666667,48400.7588,0.05695325099499626,4.3919735563740865,4.257238758242915
400,200,200,500,10000.0,2787.1745511333324,2271.228320511034,0.10743333333333334,50724.75573333333,0.05838036095096968,4.251028299118517,4.152266303146638
400,200,200,700,14000.0,2912.150224899999,2657.918009018194,0.1346,53878.439666666665,0.057650755051763355,3.795446008256009,3.7664603854809786
400,200,200,1000,20000.0,2756.7362096999996,2955.619120135683,0.1741,56461.787533333336,0.052967624096935055,3.231003038068081,3.242902532051921
400,200,300,200,8000.0,2241.1017443,1734.6614311494325,0.09356666666666667,43354.05336666667,0.05443153606634347,4.475457880546426,4.269418708006089
400,200,300,300,8000.0,2432.3884936333334,1883.261267133528,0.09626666666666667,47852.02586666666,0.05383780447203562,4.474175228093985,4.292215217451146
400,200,300,400,8000.0,2675.3863603666664,2081.814466915721,0.0972,50774.11686666666,0.055705416156533495,4.451794508755751,4.308117615536274
400,200,300,500,10000.0,2869.6033000333327,2303.563414328192,0.10406666666666667,53098.1138,0.05709480679328554,4.315313120802087,4.2095363864770015
400,200,300,700,14000.0,2994.5789738,2676.7362198847836,0.12863333333333332,56251.79773333333,0.05643341967988919,3.875438223137524,3.837541238761341
400,200,300,1000,20000.0,2839.1649585999994,2958.100124302068,0.16816666666666666,58835.1456,0.05194458853699715,3.324821846944506,3.325593943029146
400,200,400,200,8000.0,2468.569646966666,1782.5948529311443,0.07726666666666666,45066.01,0.05730033005089333,4.797150674521541,4.567594765629009
400,200,400,300,8000.0,2659.8563963,1929.2348033431724,0.08086666666666667,49563.9825,0.05640778136034937,4.775993478082785,4.57316381015625
400,200,400,400,8000.0,2902.8542630333336,2124.4922123800593,0.0832,52486.0735,0.05805746851212002,4.733263827697367,4.573593913173321
400,200,400,500,10000.0,3097.0712026999995,2342.8522990114393,0.09076666666666666,54810.070433333334,0.05929028747624799,4.579276875455012,4.4609634750251805
400,200,400,700,14000.0,3222.0468764666666,2703.82105963368,0.11286666666666667,57963.75436666667,0.05851673124406037,4.128046029173958,4.077173392571977
400,200,400,1000,20000.0,3066.6328612666666,2972.254421957686,0.15063333333333334,60547.10223333333,0.054044961692778073,3.5740977519520047,3.557987334397582
400,200,500,200,10000.0,2687.9287673,1862.7396624003875,0.0678,46553.230533333335,0.060045060672912744,4.998690140188656,4.7708324239257704
400,200,500,300,10000.0,2879.215516633333,2006.0371342087758,0.07073333333333333,51051.20303333333,0.05888958199891587,4.971939427947396,4.770350995932481
400,200,500,400,10000.0,3122.213383366666,2196.440780124472,0.07293333333333334,53973.29403333333,0.06035000274139019,4.924177570365571,4.765359757085535
400,200,500,500,10000.0,3316.430323033333,2409.8988161658735,0.07926666666666667,56297.29096666667,0.06144556542967204,4.767192531672185,4.649103631347355
400,200,500,700,14000.0,3441.4059967999997,2756.364595542135,0.10083333333333333,59450.9749,0.0605685899103667,4.325037439219784,4.268882667128693
400,200,500,1000,20000.0,3285.9919815999997,3011.5029648792774,0.13553333333333334,62034.322766666664,0.056099085248492206,3.779843574301969,3.752596219172056
400,200,700,200,14000.0,2954.1270888999998,2001.4134806077093,0.06263333333333333,48536.444266666665,0.06332168901755786,5.113084587035666,4.879231538688428
400,200,700,300,14000.0,3145.4138382333326,2131.315554570116,0.0641,53034.41676666667,0.061865338263180185,5.112350976811808,4.901164289704344
400,200,700,400,14000.0,3388.411704966667,2305.123171244665,0.06303333333333333,55956.50776666667,0.06309008521207009,5.092050006850092,4.917097439081254
400,200,700,500,14000.0,3582.628644633333,2503.120162446147,0.06833333333333333,58280.5047,0.06401333857965898,4.958047903775023,4.820710071715383
400,200,700,700,14000.0,3707.6043183999996,2824.6754928810797,0.08753333333333334,61434.18863333333,0.06299867525250179,4.546900392639853,4.4678641089014155
400,200,700,1000,20000.0,3552.1903031999996,3053.0726183963397,0.1187,64017.5365,0.058526167808897904,4.030414505192872,3.9750086462918075
400,200,1000,200,20000.0,2849.9502575666666,2305.167282144474,0.1058,50158.2984,0.05990655450115343,4.282776944983639,4.127850155092518
400,200,1000,300,20000.0,3041.2370069,2398.417710964684,0.09943333333333333,54656.2709,0.058697813037269876,4.3925434587378795,4.238578181466838
400,200,1000,400,20000.0,3284.2348736333333,2529.9981195308583,0.09186666666666667,57578.3619,0.06000408346157652,4.496810982750695,4.347583441277695
400,200,1000,500,20000.0,3478.4518132999997,2689.8278064382557,0.092,59902.35883333333,0.06098391705305695,4.479733057926501,4.34549418785329
400,200,1000,700,20000.0,3603.427487066667,2965.1902715976767,0.10566666666666667,63056.042766666666,0.060089374157771096,4.209726133781506,4.116543878384829
