DOW,Tipo,thr_cal,n,meanROI,sdROI,p,octdec_bets,octdec_stake,octdec_profit_exp,octdec_profit_real
Dom,FH,0.0943,182,-0.05267032967032966,0.8028699237572198,0.8119289770955483,166,24659.0,-1298.797659340659,-734.3529999999998
Dom,FH,0.3305,71,-0.014999999999999989,0.8664090587839309,0.5579921644679574,58,11795.0,-176.92499999999987,252.23200000000008
Dom,FH,0.3333,71,-0.014999999999999989,0.8664090587839309,0.5579921644679574,58,11795.0,-176.92499999999987,252.23200000000008
Dom,FT,0.0943,372,-0.0530268817204301,0.9403781358363151,0.8616118323502941,330,62902.0,-3335.4969139784944,-2865.4254999999994
Dom,FT,0.3333,133,-0.0554511278195489,0.8853528355558301,0.7649461015426602,113,30771.0,-1706.2866541353392,-2665.92
Dom,FT,0.35,73,-0.29428767123287675,0.8296718976574758,0.9987796159308385,67,18157.0,-5343.381246575343,-4762.08
Dom,FT,0.375,41,-0.3585853658536585,0.8179262184210063,0.9975011396391709,37,9717.0,-3484.374,-3486.2999999999997
Qua,FH,0.3442,68,-0.013860294117647057,0.8606125631910682,0.5528267798187917,61,8433.0,-116.88386029411764,-297.79999999999995
Qua,FH,0.3797,63,-0.029246031746031756,0.8553889365937006,0.60694958859888,57,8099.0,-236.8636111111112,-425.2199999999999
Qua,FH,0.4427,63,-0.029246031746031756,0.8553889365937006,0.60694958859888,57,8099.0,-236.8636111111112,-425.2199999999999
Qua,FH,0.4536,42,-0.10036904761904761,0.8482559658810125,0.7784078775724567,38,5168.0,-518.707238095238,-665.548
Qua,FH,0.4909,33,0.026803030303030325,0.8676560372941747,0.4295746967732055,30,4259.0,114.15410606060615,-109.04799999999997
Qua,FT,0.3556,176,0.0423465909090909,0.934864536735379,0.2739422841114356,162,31290.0,1325.0248295454544,1623.3775
Qua,FT,0.4427,174,0.05145402298850575,0.9359548588868459,0.2341742678223444,161,30992.0,1594.6630804597703,1772.3775
Qua,FT,0.4536,145,0.03845172413793105,0.9402181822811903,0.31119701095620667,136,26298.0,1011.2034413793107,1282.4425
Qua,FT,0.4909,126,0.046777777777777786,0.9405143413166128,0.28832336706063155,118,23566.0,1102.3651111111112,1271.8094999999998
Qua,FT,0.5338,106,0.045452830188679266,0.9432059198699021,0.30989656938696486,100,21379.0,971.736056603774,1230.8625000000002
Qua,FT,0.798,93,0.03789247311827958,0.9432275788409753,0.3492240041286905,87,19117.0,724.3904086021506,440.1625
Qua,FT,0.9063,81,-0.0018395061728394954,0.9561942167623443,0.5069069452606174,75,17625.0,-32.421296296296106,-134.43849999999986
Seg,FT,0.1667,54,0.2552407407407407,0.985789137680697,0.02854198753507009,52,10264.0,2619.7909629629626,2183.0840000000003
Seg,FT,0.4029,50,0.20516000000000006,1.0036655138408759,0.07417248263142662,48,9541.0,1957.4315600000007,1601.234
Seg,FT,0.4536,45,0.2761777777777778,1.0038921141077246,0.03248430431217908,44,8566.0,2365.7388444444446,2276.234
Sex,FH,0.3467,262,-0.08536832061068703,0.7547651907252362,0.9664331057370075,221,37576.0,-3207.8000152671757,-1900.708
Sex,FH,0.35,112,-0.1777455357142857,0.7438809419764338,0.9942763701056191,86,15422.0,-2741.191651785714,-2018.7710000000002
Sex,FT,0.0943,662,0.00015936555891238828,0.914410784251488,0.49821108075597464,597,124556.0,19.849936555891436,98.62499999999909
Sex,FT,0.3333,381,-0.0032965879265091846,0.8991162583418469,0.528526649416908,333,83043.0,-273.75855118110223,-776.3669999999997
Sex,FT,0.35,179,-0.08456983240223462,0.9021421148449605,0.8951154614962435,149,36530.0,-3089.3359776536304,-4131.888
Sex,FT,0.375,58,-0.012025862068965514,0.891356626319865,0.540919013071,46,9561.0,-114.97926724137928,-835.568
Sáb,FH,0.35,324,0.004239197530864195,0.8178757015559509,0.46283370751479347,298,52289.0,221.66339969135788,542.411
Sáb,FH,0.375,67,-0.014111940298507463,0.8061380193359605,0.5569692729586849,63,12546.0,-177.04840298507463,204.89799999999974
Sáb,FH,0.3998,65,-0.030900000000000018,0.8073100840909891,0.6211813752678033,61,12375.0,-382.3875000000002,116.66900000000004
Sáb,FT,0.3381,590,-0.04773389830508476,0.9123785378351821,0.8981004301345037,522,121726.0,-5810.456505084748,-5787.886
Sáb,FT,0.35,384,-0.027803385416666663,0.8962223866502982,0.7283802309520484,342,88584.0,-2462.93509375,-894.4135000000003
Sáb,FT,0.375,116,0.029163793103448268,0.8939810516809725,0.3626614584891996,107,26958.0,786.1975344827584,1350.4389999999999
Ter,FH,0.4536,77,0.1116948051948052,0.857128077068401,0.12641746828078415,76,9845.0,1099.6353571428572,545.0959999999998
Ter,FH,0.4809,66,0.12182575757575755,0.8577654354480699,0.1242845438912542,65,8371.0,1019.8034166666664,539.4959999999999
Ter,FH,0.4956,61,0.10656557377049179,0.8735016765649329,0.17033661611669948,60,7789.0,830.0392540983605,479.05599999999987
Ter,FH,0.581,55,0.17328181818181818,0.8647487098254504,0.06862797234209816,54,6994.0,1211.9330363636363,662.036
Ter,FH,0.7697,50,0.17005000000000003,0.8975234193408584,0.09016728941124019,49,6448.0,1096.4824000000003,470.2839999999998
Ter,FH,0.867,45,0.13690000000000002,0.9066514289606363,0.15555241360091054,44,5313.0,727.3497000000001,78.77399999999999
Ter,FH,0.9146,40,0.08576249999999999,0.8844265706174269,0.26984241273862186,39,4861.0,416.8915125,-205.86600000000004
Ter,FH,0.9581,34,0.09048529411764707,0.8945689370364459,0.2776628817306388,33,4275.0,386.8246323529412,-231.35100000000014
Ter,FT,0.4427,147,0.08629251700680271,0.8987922658408906,0.1222014173386301,142,27666.0,2387.3687755102037,875.3910000000003
Ter,FT,0.446,132,0.09996212121212121,0.9078434341032164,0.10292472846787004,127,24729.0,2471.9632954545455,786.6709999999998
Ter,FT,0.4551,122,0.08498360655737706,0.9107267371784353,0.15134370681670561,117,22733.0,1931.9323278688528,253.31199999999978
Ter,FT,0.4909,121,0.09395041322314052,0.9090896898476672,0.12781063292746853,116,22433.0,2107.5896198347114,553.312
Ter,FT,0.6193,103,0.1009514563106796,0.9019843198785008,0.12800352613196586,98,19652.0,1983.8980194174756,1141.2519999999997
Ter,FT,0.864,93,0.014462365591397852,0.8921988903721522,0.43788974582344253,88,18246.0,263.8803225806452,-278.8370000000001
Ter,FT,0.9169,83,0.01785542168674699,0.8971704997777548,0.42806009463583583,78,17003.0,303.59573493975904,116.92399999999981
Ter,FT,0.9943,73,0.039191780821917814,0.9042140180770604,0.3555694879936575,68,15602.0,611.4701643835617,366.5769999999999
