Seg,TerFT,TerFH,Sex,Sab,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,is_flat,is_old_up,no_destroy
"[200, 250, 300]","[300, 300]",[300],"[150, 200, 300]",[300],1454.53176184,2871.57724385086,0.29026,61777.88812,0.026089102044840832,False,False,False
"[200, 250, 300]","[300, 300]",[300],"[200, 250, 300]",[300],1682.6802944399997,2928.29931796174,0.2713,64989.96722,0.02891978845299229,False,False,False
"[200, 250, 300]","[300, 300]",[300],"[250, 300, 300]",[300],1891.8936737199997,2969.6957373455857,0.25282,67754.37434,0.0311788514744083,False,False,False
"[200, 250, 300]","[300, 300]",[300],"[200, 300, 300]",[300],1795.3569260999998,2934.7479607361474,0.26074,65529.97354,0.030380382192023728,False,False,False
"[200, 250, 300]","[300, 300]",[300],"[300, 300, 300]",[300],2017.4727788799996,3016.3906262880187,0.24266,69610.60964,0.0324869201147497,False,False,False
"[200, 250, 300]","[300, 300]",[300],"[150, 250, 300]",[300],1549.5622071399998,2871.2947102024013,0.28026,62424.56434,0.027332921171117287,False,False,False
"[200, 250, 300]","[300, 300]",[300],"[200, 200, 300]",[300],1587.6498491399998,2934.0178576342737,0.28084,64343.291,0.02773684227375624,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[150, 200, 300]",[300],1509.2472672200001,2868.911724088256,0.28342,62010.6007,0.026825976294252818,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[200, 250, 300]",[300],1737.3957998199999,2924.8631901145372,0.26434,65222.6798,0.029610006047843876,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[250, 300, 300]",[300],1946.6091790999997,2966.0133336819345,0.24706,67987.08692,0.031832660536109614,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[200, 300, 300]",[300],1850.07243148,2931.1171516143622,0.25456,65762.68612,0.031060238965594407,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[300, 300, 300]",[300],2072.18828426,3012.977679261598,0.2366,69843.32222,0.033118149519778706,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[150, 250, 300]",[300],1604.2777125199998,2868.394772644786,0.27376,62657.27692,0.028057686327788742,False,False,False
"[250, 300, 300]","[300, 300]",[300],"[200, 200, 300]",[300],1642.3653545199995,2930.8176211661334,0.27448,64576.00358,0.028438139453333126,False,False,False
"[300, 300, 300]","[300, 300]",[300],"[150, 200, 300]",[300],1510.9951212199999,2859.4505190888967,0.2824,62067.46232,0.026813588267437516,False,False,False
"[300, 300, 300]","[300, 300]",[300],"[200, 250, 300]",[300],1739.1436538199996,2914.767994404041,0.26336,65279.54142,0.029593522316702564,False,False,False
"[300, 300, 300]","[300, 300]",[300],"[250, 300, 300]",[300],1948.3570331,2955.461255580876,0.24518,68043.94854,0.031813352696975286,False,False,False
"[300, 300, 300]","[300, 300]",[300],"[200, 300, 300]",[300],1851.8202854799997,2921.031899893043,0.25306,65819.54774,0.031042512741605275,False,False,False
"[300, 300, 300]","[300, 300]",[300],"[300, 300, 300]",[300],2073.9361382599996,3002.2692073373682,0.23532,69900.18384,0.03309685937573106,True,False,True
"[300, 300, 300]","[300, 300]",[300],"[150, 250, 300]",[300],1606.0255665199998,2858.991702671524,0.27262,62714.13854,0.028043827328137087,False,False,False
"[300, 300, 300]","[300, 300]",[300],"[200, 200, 300]",[300],1644.1132085199997,2920.684425806922,0.27336,64632.8652,0.02842297291822415,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[150, 200, 300]",[300],1500.50003222,2880.8616475579474,0.28574,61944.8037,0.02672334510878203,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[200, 250, 300]",[300],1728.64856482,2937.4290435745443,0.2668,65156.8828,0.029517539212519865,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[250, 300, 300]",[300],1937.8619440999996,2979.041780023004,0.24896,67921.28992,0.031747773513758355,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[200, 300, 300]",[300],1841.32519648,2943.726162502001,0.25704,65696.88912,0.03096999415208933,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[300, 300, 300]",[300],2063.4410492599995,3026.0392203827464,0.23878,69777.52522,0.03303836164568438,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[150, 250, 300]",[300],1595.5304775199997,2880.3104345179754,0.27562,62591.47992,0.027957824144993874,False,False,False
"[200, 300, 300]","[300, 300]",[300],"[200, 200, 300]",[300],1633.6181195199997,2943.393680428807,0.2766,64510.20658,0.02834316426436043,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[150, 200, 300]",[300],1445.78452684,2884.6130238436663,0.2922,61712.09112,0.025983541926497995,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[200, 250, 300]",[300],1673.9330594399999,2941.9260151966137,0.27302,64924.17022,0.02882471908651095,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[250, 300, 300]",[300],1883.1464387199999,2983.7685369544515,0.25498,67688.57734,0.031091603282703287,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[200, 300, 300]",[300],1786.6096910999997,2948.41459678299,0.26266,65464.17654,0.030287587645112017,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[300, 300, 300]",[300],2008.7255438799996,3030.481538648833,0.24492,69544.81264,0.03240492311516227,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[150, 250, 300]",[300],1540.8149721399998,2884.2954110944747,0.2825,62358.76734,0.027230204193402215,False,False,False
"[150, 250, 300]","[300, 300]",[300],"[200, 200, 300]",[300],1578.9026141399997,2947.6536934542182,0.28292,64277.494,0.027639199560276766,False,False,False
"[250, 300, 300]","[250, 300]",[300],"[200, 250, 300]",[300],1697.8247538199996,2860.8171511019577,0.26486,64954.30996,0.029122846898809444,False,False,False
"[250, 300, 300]","[200, 300]",[300],"[200, 250, 300]",[300],1703.3040398199998,2805.3675601784134,0.26204,64627.59816,0.029384970844798228,False,False,False
"[250, 300, 300]","[250, 300]",[300],"[300, 300, 300]",[300],2032.6172382599998,2952.240653427261,0.23664,69574.95238,0.03267229847412951,False,False,False
"[250, 300, 300]","[200, 300]",[300],"[300, 300, 300]",[300],2038.0965242599998,2901.5250823462065,0.23344,69248.24058,0.03293350970545176,False,False,False
"[300, 300, 300]","[250, 300]",[300],"[200, 250, 300]",[300],1699.57260782,2850.637086788938,0.26354,65011.17158,0.029106643232988363,False,False,False
"[300, 300, 300]","[200, 300]",[300],"[200, 250, 300]",[300],1705.0518938199998,2794.940570956753,0.26056,64684.45978,0.029368085311791223,False,False,False
"[300, 300, 300]","[250, 300]",[300],"[300, 300, 300]",[300],2034.3650922599995,2941.448626369055,0.2355,69631.814,0.03265122026805609,False,False,False
"[300, 300, 300]","[200, 300]",[300],"[300, 300, 300]",[300],2039.8443782599998,2890.5002280306453,0.23202,69305.1022,0.03291178117478043,False,False,False
"[180, 230, 300]","[200, 300]",[250],"[80, 130, 250]",[300],1094.33899872,2546.7111769181147,0.31712,53599.46714,0.022155758057062557,False,True,False
